seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2091.8,8c8da9471ddedc98a21d2a76f93437ebe072d92753ee7794feef991300ac9630,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_anon\seed_0\best_program.txt,2026-03-05T15:04:14,2026-03-05T15:49:56,
1,True,-2091.8,1979c8889745cee7f9d85a89c4355b19b638b97d5f9047339a26ab5513e1a54b,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_anon\seed_1\best_program.txt,2026-03-05T15:49:56,2026-03-05T16:20:49,
2,True,-2051.6,b30e6f53ec9bf26d8532366d7f0cc6b7bf6ac018b562345b3398404cc7055e73,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_anon\seed_2\best_program.txt,2026-03-05T16:20:49,2026-03-05T16:47:47,
3,True,-2091.8,1548210535e4e80d1833c79dfcbbb34f41d046feb7f422270c7f4d9df51c8763,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_anon\seed_3\best_program.txt,2026-03-05T16:47:47,2026-03-05T17:14:25,
4,True,-2085.8,edb80b1f0aa4717b933d8e4314dae46b995a0eb5e148407006e991fa73cf5962,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_anon\seed_4\best_program.txt,2026-03-05T17:14:25,2026-03-05T17:43:02,
