seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2042.4,fc7f5bb987ac3bc37a86e6809ded8d61d3a0861ab16b2038d9ec5b68363a117a,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_0\best_program.txt,2026-03-05T00:09:47,2026-03-05T00:23:40,
1,True,-2089.0,b10ac4b8984a0f76f2eba265b12fa20305b83b59062f208497e4752ee323a7c1,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_1\best_program.txt,2026-03-05T00:23:40,2026-03-05T00:34:45,
2,True,-2091.6,c15a08c4ddbecfeaa7de4c71e0e48120396d2f1b03c86eceec70f87bb8f49461,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_2\best_program.txt,2026-03-05T00:34:46,2026-03-05T00:45:49,
3,True,-2091.0,f3117042b8025822a00fcdc8ae5164c5425d40ac7f9d4c0f79879e18ab985d82,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_3\best_program.txt,2026-03-05T00:45:49,2026-03-05T00:57:32,
4,True,-2089.6,ca85199f8540340798591e0f38ee894eb397f8b5433846d40787ad0e2cba28b0,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\statistic_llmrouter\eoh_obp_llmrouter_train_3\seed_4\best_program.txt,2026-03-05T00:57:32,2026-03-05T01:09:48,
