seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2091.8,74777e165fc8492f6e0957a6a363600dbb94524ae9cba626ea433da9dea61f0c,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router\runs\eoh_obp_textgrad_train_3\seed_0\best_program.txt,2026-03-04T03:09:49,2026-03-04T03:24:46,
1,True,-2091.8,98637845e6a92dbe40ce7e7575ff7093f6a379f3e8ab9afde3967e6aadd47b5b,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router\runs\eoh_obp_textgrad_train_3\seed_1\best_program.txt,2026-03-04T03:24:46,2026-03-04T03:37:10,
2,True,-2071.4,f2d165e6e3992add7f7e6bb787264e431db410c92f73f5ed0e859240fc0edbaa,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router\runs\eoh_obp_textgrad_train_3\seed_2\best_program.txt,2026-03-04T03:37:10,2026-03-04T03:47:53,
3,True,-2089.4,7dd9937744d9710a2cd7153398a516b00468d1ef213df66ee4d1cb6624d5be25,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router\runs\eoh_obp_textgrad_train_3\seed_3\best_program.txt,2026-03-04T03:47:53,2026-03-04T03:58:53,
4,True,-2091.4,4b9cfc37d0d83ce2d12494f2549690379a0b24e69e28a8338ec898aaec5ec90d,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router\runs\eoh_obp_textgrad_train_3\seed_4\best_program.txt,2026-03-04T03:58:53,2026-03-04T04:11:13,
