seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2091.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH\static_rule\results\eoh_obp_repro\eoh_obp_rule_router_20260114_154244\seed_0\best_program.txt,2026-01-14T15:42:44,2026-01-14T15:49:21,
1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH\static_rule\results\eoh_obp_repro\eoh_obp_rule_router_20260114_154244\seed_1\best_program.txt,2026-01-14T15:49:21,2026-01-14T15:55:34,
2,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH\static_rule\results\eoh_obp_repro\eoh_obp_rule_router_20260114_154244\seed_2\best_program.txt,2026-01-14T15:55:34,2026-01-14T16:01:16,
3,True,-2091.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH\static_rule\results\eoh_obp_repro\eoh_obp_rule_router_20260114_154244\seed_3\best_program.txt,2026-01-14T16:01:16,2026-01-14T16:08:06,
4,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH\static_rule\results\eoh_obp_repro\eoh_obp_rule_router_20260114_154244\seed_4\best_program.txt,2026-01-14T16:08:06,2026-01-14T16:14:29,
