seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2066.4,7522b8eba54b8924ad80038e4fcb9d6b3d2f7ae829e30b3094e2af6eb5f886ac,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_named\seed_0\best_program.txt,2026-03-04T14:53:16,2026-03-04T15:36:51,
1,True,-2091.4,d92ec5e7ff8752ebbe18202d6c5bc6b8dd8fa7f6a84db12936f83bdd92dcb2a5,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_named\seed_1\best_program.txt,2026-03-04T15:36:51,2026-03-04T16:06:28,
2,True,-2091.8,59e973ca5ca0260e4833b447d259ec91e0536b1d36643fbd38b29bed59aa9598,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_named\seed_2\best_program.txt,2026-03-04T16:06:28,2026-03-04T16:32:26,
3,True,-2091.8,2b534bd0b5d53628cc7f5a03a986620f9ab2000b37f4d58a4a46cb410852a99b,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_named\seed_3\best_program.txt,2026-03-04T16:32:26,2026-03-04T16:56:36,
4,True,-2091.8,ba1c6f497dd00ef158e6828c3cd0b3437cc731ea63ddf3808a1f3fdea546e195,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\textgrad_router_beta\runs\eoh_obp_textgrad_train_named\seed_4\best_program.txt,2026-03-04T16:56:36,2026-03-04T17:19:17,
